[00:00:00 -> 00:00:02]  Fertighaus-Boom in Deutschland.
[00:36:46 -> 00:36:48]  Jetzt zu den Fliesen.
[00:36:48 -> 00:36:51]  Plötzlich wird die Beratung unterbrochen.
[00:36:51 -> 00:36:53]  Geschäftsführer Johannes Schwörer
[00:36:53 -> 00:36:56]  nimmt sich bei seinem Rundgang durchs Haus
[00:36:56 -> 00:36:58]  einen Moment Zeit für die Kundschaft.
[00:36:58 -> 00:37:00]  So, grüß Gott.
[00:37:00 -> 00:37:02]  Hallo.
[00:37:02 -> 00:37:04]  Sie sind zur Bemusterung?
[00:37:04 -> 00:37:06]  Wir sind heute zur Hauptbemusterung da.
[00:37:06 -> 00:37:08]  Wo bauen Sie denn?
[00:37:08 -> 00:37:10]  Wir bauen in Ochsenwangen auf der Alp.
[00:37:10 -> 00:37:12]  Das ist in der Nähe von Kirchheim-Teg.
[00:37:12 -> 00:37:14]  Und dann gleich die Alpsteige rauf.
[00:37:14 -> 00:37:16]  Das ist ein Gebiet,
[00:37:16 -> 00:37:19]  wo die meiste Wertsteigerung erwartet wird.
[00:37:19 -> 00:37:21]  Das hört sich gut an.
[00:37:21 -> 00:37:24]  Mehr als jedes 3. Einfamilienhaus in Baden-Württemberg
[00:37:24 -> 00:37:26]  ist ein Fertigbau.
[00:37:26 -> 00:37:29]  Damit führen die Schwaben deutschlandweit in der Statistik.
[00:37:29 -> 00:37:31]  Zurück nach Oberfranken.
[00:37:31 -> 00:37:33]  Dort ist das Haus von Ehepaar Dressel
[00:37:33 -> 00:37:36]  nach wenigen Stunden bis zum Dach aufgebaut.
[00:37:36 -> 00:37:39]  Auch hier kommt überraschend Besuch.
[00:37:39 -> 00:37:43]  Wir haben unerwartet was geschenkt bekommen von unseren Freunden.
[00:37:44 -> 00:37:47]  Alles, was wir jetzt brauchen für den Anfang.
[00:37:47 -> 00:37:49]  Sogar mit Spruch.
[00:37:51 -> 00:37:54]  Wo die Liebe wohnt, wo Erinnerungen geboren werden,
[00:37:54 -> 00:37:56]  wo Freunde immer willkommen sind
[00:37:56 -> 00:37:58]  und jederzeit ein Lächeln auf euch wartet.
[00:37:58 -> 00:38:00]  Sehr schön.
[00:38:00 -> 00:38:02]  Das ist aber schwer.
[00:38:02 -> 00:38:04]  Wir haben ein Haus gekauft,
[00:38:04 -> 00:38:07]  aber es ist ein Traum, wenn man das sieht,
[00:38:07 -> 00:38:10]  was man seit Monaten plant.
[00:38:11 -> 00:38:14]  Das ist schon eher faszinierend.
[00:38:14 -> 00:38:18]  V.a., dass es innerhalb von einem Tag zu sehen ist.
[00:38:20 -> 00:38:23]  Um 18 Uhr soll das Richtfest starten.
[00:38:23 -> 00:38:26]  Ein paar Freunde von Manuel wollen beim Grillen helfen.
[00:38:26 -> 00:38:30]  Mit Würstchen und Steaks ist dann fürs Leibliche wohlgesorgt.
[00:38:30 -> 00:38:33]  Wir haben allen Anwohnern Bescheid gesorgt,
[00:38:33 -> 00:38:35]  dass sie abends vorbeigucken sollen.
[00:38:35 -> 00:38:38]  Wenn sie schon da sind, haben wir uns vorgestellt.
[00:38:39 -> 00:38:41]  Hauptsache, dass wir was mit essen.
[00:38:41 -> 00:38:43]  Das wäre uns sehr recht.
[00:38:43 -> 00:38:45]  Doch bevor die Party steigt,
[00:38:45 -> 00:38:48]  haben die Bauherren noch etwas Wichtiges vor.
[00:38:48 -> 00:38:50]  Habt ihr das Wasser schon im Haus?
[00:38:50 -> 00:38:52]  Wo kann ich das abnehmen?
[00:38:52 -> 00:38:54]  Überall.
[00:38:54 -> 00:38:57]  Im Waschbecken, in der Küche kann man es abnehmen.
[00:38:57 -> 00:38:59]  Ganz außen schon mit Wasser.
[00:38:59 -> 00:39:01]  Super, danke.
[00:39:01 -> 00:39:03]  Danke.
[00:39:03 -> 00:39:05]  Du zuerst.
[00:39:09 -> 00:39:11]  Tatjana und Manuel
[00:39:11 -> 00:39:15]  betreten zum 1. Mal ihr eigenes, nagelneues Haus.
[00:39:15 -> 00:39:17]  Es sieht noch aus wie Baustelle,
[00:39:17 -> 00:39:20]  aber wird ja die Woche noch fertig gemacht.
[00:39:20 -> 00:39:23]  Aber die Stöße haben Sie schon zugemacht?
[00:39:23 -> 00:39:25]  Ja, das haben sie schon gemacht.
[00:39:28 -> 00:39:30]  Jetzt, wo du komplett drinstehst
[00:39:30 -> 00:39:32]  und die Größe vom Raum auch fühlst,
[00:39:32 -> 00:39:34]  auch wenn noch viel Zeug rumsteht,
[00:39:34 -> 00:39:37]  es fühlt sich jetzt einfach fertig an.
[00:39:38 -> 00:39:42]  Noch heute Morgen stand hier außer einem Baugerüst nichts.
[00:39:44 -> 00:39:49]  Die 27-Jährige kann kaum glauben, dass ihr Traum wahr geworden ist.
[00:39:49 -> 00:39:51]  Ja, die geht auf.
[00:39:51 -> 00:39:53]  Der schon.
[00:39:53 -> 00:39:56]  Wir haben keine doppelten Fenster gewollt.
[00:39:56 -> 00:39:59]  Wir wollten auch nicht alles bodentiefe Fenster
[00:39:59 -> 00:40:02]  und schon gar kein komplett verglastes Erdgeschoss,
[00:40:02 -> 00:40:04]  wie es manche mögen.
[00:40:04 -> 00:40:08]  Da fühle ich mich selber persönlich zu beobachtet von draußen.
[00:40:08 -> 00:40:10]  Und es hat mir nie gefallen.
[00:40:10 -> 00:40:13]  Es sieht zwar schön von der Optik nach außen aus,
[00:40:13 -> 00:40:15]  aber ich möchte da nicht drin sitzen,
[00:40:15 -> 00:40:17]  wenn ich im Glas sitze.
[00:40:17 -> 00:40:21]  Rund 130 qm Wohnfläche verteilen sich auf 2 Etagen.
[00:40:21 -> 00:40:25]  So richtig euphorisch wirken die frischgebackenen Hausherren
[00:40:25 -> 00:40:27]  bei ihrem Rundgang nicht.
[00:40:27 -> 00:40:29]  Aber warum wohl?
[00:40:29 -> 00:40:33]  Ich glaube, da braucht man auch einen Moment, um das zu realisieren.
[00:40:33 -> 00:40:35]  Ich bin bei jedem Stelltermin dabei.
[00:40:35 -> 00:40:37]  Ich sehe es, ich kenne es.
[00:40:37 -> 00:40:39]  Aber wenn das mein Haus wäre,
[00:40:39 -> 00:40:42]  und ich wäre das 1. Mal, wenn ich hier stehe,
[00:40:42 -> 00:40:45]  das braucht eine gewisse Zeit, um zu realisieren,
[00:40:45 -> 00:40:47]  was da passiert ist.
[00:40:47 -> 00:40:50]  240-mal war Fred Schwarz schon dabei.
[00:40:50 -> 00:40:53]  Manuel will wissen, kommt Wasser aus dem Hahn?
[00:40:53 -> 00:40:55]  Wasser läuft.
[00:40:55 -> 00:40:59]  Bis zum späten Abend soll das Haus bezugsfertig sein.
[00:40:59 -> 00:41:02]  Die Chancen dafür stehen gut.
[00:41:03 -> 00:41:06]  Schlusssport im schwäbischen Ochsenwang
[00:41:06 -> 00:41:09]  bei der Montage des Fertighauses von Familie Heiml.
[00:41:09 -> 00:41:12]  Der Aufbau der 2-geschossigen Konstruktion
[00:41:12 -> 00:41:15]  in Holzständerbauweise geht problemlos voran.
[00:41:15 -> 00:41:19]  Teil für Teil kommt alles an seinen richtigen Platz.
[00:41:19 -> 00:41:21]  Das ist Lego für Erwachsene.
[00:41:21 -> 00:41:24]  Man hat einen Plan dazu, das gibt es bei Lego auch.
[00:41:24 -> 00:41:28]  Die Teile sind vorgefertigt, dann steckt man es zusammen.
[00:41:28 -> 00:41:30]  Wichtig ist, dass es passt.
[00:41:30 -> 00:41:33]  Das ist von der Vorfertigung her, das muss passen.
[00:41:33 -> 00:41:35]  Das ist mittlerweile sehr gut.
[00:41:35 -> 00:41:37]  Soweit die Profis.
[00:41:37 -> 00:41:41]  Und die 2 Bauherren, die haben noch einen besonderen Wunsch.
[00:41:41 -> 00:41:45]  Herr, wir dürften unseren Grundstein heute nicht vergessen.
[00:41:45 -> 00:41:49]  Da müssen wir fragen, wo wir den noch hinschauen können.
[00:41:49 -> 00:41:52]  Der ist so schön, der ist echt so traumhaft.
[00:41:52 -> 00:41:54]  Eigentlich müsste der aus Holz sein.
[00:41:54 -> 00:41:58]  Stimmt, weil wir kein Steinhaus haben, sondern Holz.
[00:41:59 -> 00:42:01]  Das Pultdach schwebt ein.
[00:42:01 -> 00:42:04]  Der Bautrupp um Joachim und Florian Stenglein
[00:42:04 -> 00:42:06]  hat nur sehr selten
[00:42:06 -> 00:42:10]  mit solchen leicht geneigten Flachdächern zu tun.
[00:42:10 -> 00:42:15]  Gleich ist es soweit, der Moment, in dem die Decke schließt.
[00:42:17 -> 00:42:22]  Michael und Stefanie haben sich schon in Position gebracht.
[00:42:22 -> 00:42:25]  Das war's. Das Dach ist zu.
[00:42:25 -> 00:42:27]  Das Dach ist zu.
[00:42:27 -> 00:42:30]  Jetzt schauen wir mal, wo der passen könnte.
[00:42:30 -> 00:42:32]  Schauen wir mal, ob er da oben passt.
[00:42:32 -> 00:42:34]  Da müsste noch was reichen.
[00:42:34 -> 00:42:36]  Nein, da passt er nicht.
[00:42:36 -> 00:42:38]  Da rein, oder?
[00:42:38 -> 00:42:40]  Perfekt, oder?
[00:42:40 -> 00:42:42]  Also.
[00:42:42 -> 00:42:44]  Super.
[00:42:44 -> 00:42:46]  Perfekt.
[00:42:46 -> 00:42:49]  Achtung, du musst nicht drüben das Zeug.
[00:42:49 -> 00:42:51]  Schön eindrücken.
[00:42:51 -> 00:42:53]  Jawohl.
[00:42:53 -> 00:42:55]  Das kann vorne rausstehen.
[00:42:55 -> 00:42:57]  Das kann ich wegschneiden.
[00:42:57 -> 00:42:59]  Perfekt.
[00:42:59 -> 00:43:01]  Sehr gut.
[00:43:01 -> 00:43:03]  Vielen Dank.
[00:43:03 -> 00:43:05]  Mit Wunsch.
[00:43:05 -> 00:43:07]  So kann man nicht.
[00:43:07 -> 00:43:09]  Klasse.
[00:43:09 -> 00:43:13]  Dem Glück der Hauseigner steht nichts mehr im Weg.
[00:43:13 -> 00:43:15]  In nur 48 Stunden
[00:43:15 -> 00:43:18]  ist ihr Eigenheim aus dem Boden gestampft worden.
[00:43:18 -> 00:43:22]  Jetzt folgen Maler und Innenarbeiten, dann der Einzug.
[00:43:22 -> 00:43:25]  Nach 1,5 Stunden beim Eintages-Fertighaus
[00:43:25 -> 00:43:28]  hat der Kranfahrer seine Arbeit beendet.
[00:43:28 -> 00:43:31]  Freunde und Nachbarn der Bauherren sind versammelt.
[00:43:31 -> 00:43:34]  Aber stopp, gegessen werden darf noch nicht.
[00:43:34 -> 00:43:36]  Am Dachfirst tut sich etwas.
[00:43:36 -> 00:43:40]  Der Leiter des Montagetrupps läutet das Richtfest ein.
[00:43:40 -> 00:43:44]  In aller Form mit Baumsekt und einer Rede.
[00:43:44 -> 00:43:47]  Dem Bauherren soll der Herrgott geben,
[00:43:47 -> 00:43:50]  Gesundheit und ein langes Leben.
[00:43:50 -> 00:43:55]  Mit diesem Wunsch stehe ich hier oben und habe dieses Glas erhoben.
[00:43:55 -> 00:43:58]  Mit diesem Wunsch trinke ich es aus.
[00:44:02 -> 00:44:05]  Und werfe in Scherben es ans Haus.
[00:44:05 -> 00:44:07]  Auf die Bauherren.
[00:44:07 -> 00:44:09]  Ein bewegender Tag
[00:44:09 -> 00:44:14]  geht für den 34-jährigen Eigentümer Manuel zu Ende.
[00:44:14 -> 00:44:16]  Danke für den Richtspruch.
[00:44:16 -> 00:44:18]  War wirklich cool.
[00:44:19 -> 00:44:21]  Warst du sonst zufrieden?
[00:44:21 -> 00:44:23]  Es passt alles so weit.
[00:44:23 -> 00:44:25]  Wir sind im Zeitplan drin.
[00:44:25 -> 00:44:27]  Ich hoffe, euch gefällt es.
[00:44:27 -> 00:44:29]  Es war mega.
[00:44:29 -> 00:44:33]  Ausgelassene Stimmung auch bei Manuels Ehefrau Tatjana
[00:44:33 -> 00:44:35]  und ihren Freundinnen.
[00:44:35 -> 00:44:38]  Herr Schwarz, ich möchte noch mal danke sagen
[00:44:38 -> 00:44:41]  für die Arbeit, die ihr heute gemacht habt.
[00:44:41 -> 00:44:43]  War wirklich super.
[00:44:43 -> 00:44:46]  Ich hoffe, dass es nächste Woche genauso klappt.
[00:44:47 -> 00:44:49]  Die Garage ist gut beschmückt.
[00:44:49 -> 00:44:52]  Kommst du da noch mal mit die Woche?
[00:44:54 -> 00:44:56]  Das Traumhaus des jungen Paares
[00:44:56 -> 00:44:59]  ist an nur einem einzigen Tag aufgebaut worden.
[00:44:59 -> 00:45:01]  Ja, sehr schön.
[00:45:01 -> 00:45:03]  Es ist was Einmaliges für uns.
[00:45:03 -> 00:45:06]  Wir bauen keine 2-3 Häuser in unserem Leben.
[00:45:06 -> 00:45:10]  Deshalb freuen wir uns für das so, wie man sich nur freuen kann.
[00:45:10 -> 00:45:13]  Wenn man dann wahrscheinlich alleine mal drin ist,
[00:45:13 -> 00:45:16]  freut man sich wieder, bis die Tränen kommen.
[00:45:16 -> 00:45:18]  Heute nicht.
[00:45:18 -> 00:45:20]  Heute sind wir ganz gefasst.
[00:45:20 -> 00:45:23]  Für die 2 ist es ein unvergesslicher Augenblick,
[00:45:23 -> 00:45:25]  von dem viele nur träumen können.
[00:45:25 -> 00:45:27]  Zurück auf der Schwäbischen Alb.
[00:45:27 -> 00:45:29]  Seit 8 Wochen steht in Ochsenwang
[00:45:29 -> 00:45:31]  das Fertighaus von Familie Halme.
[00:45:31 -> 00:45:34]  Heute parkt hier der Wagen einer Spedition.
[00:45:34 -> 00:45:37]  Der langersehnte Einzug steht bevor.
[00:45:37 -> 00:45:40]  Nicht nur die sommerlichen Temperaturen
[00:45:41 -> 00:45:43]  plagen Familienvater Michael.
[00:45:43 -> 00:45:47]  Auch die Sorge, ob der ganze Hausrat aus der alten Mietwohnung
[00:45:47 -> 00:45:49]  wirklich ins neue Eigenheim passt.
[00:45:49 -> 00:45:52]  Es ist immer wieder unglaublich zu sehen,
[00:45:52 -> 00:45:54]  wie viel man eigentlich hat.
[00:45:54 -> 00:45:58]  Und wie viel man hat, von dem man gar nicht mehr weiß.
[00:45:58 -> 00:46:00]  Fast 2 Jahre sind vergangen,
[00:46:00 -> 00:46:03]  seit die Familie den Entschluss gefasst hat,
[00:46:03 -> 00:46:05]  ein Fertighaus zu kaufen.
[00:46:05 -> 00:46:08]  Schon damals hat sich Stefanie Halmel
[00:46:08 -> 00:46:10]  auf diesen Tag gefreut.
[00:46:10 -> 00:46:12]  Und jetzt?
[00:46:12 -> 00:46:16]  Irgendwie kann sich die 40-Jährige noch gar nicht vorstellen,
[00:46:16 -> 00:46:21]  heute Abend zwar im eigenen Bett, aber in einem anderen Haus zu schlafen.
[00:46:21 -> 00:46:23]  Man hat noch gar nicht realisiert,
[00:46:23 -> 00:46:26]  dass es der letzte Tag in der Wohnung ist.
[00:46:26 -> 00:46:29]  Sondern das war so funktionieren, einfach machen.
[00:46:29 -> 00:46:32]  Ihr Traumhaus ist so geworden wie geplant.
[00:46:32 -> 00:46:34]  Na ja, fast.
[00:46:34 -> 00:46:36]  Das ist das Badezimmer.
[00:46:36 -> 00:46:38]  Wir haben auch keine Türen.
[00:46:38 -> 00:46:40]  Das liegt einfach daran,
[00:46:40 -> 00:46:43]  weil wir die von einem anderen Anbieter genommen haben
[00:46:43 -> 00:46:45]  als vom Fertighausanbieter.
[00:46:45 -> 00:46:48]  Da hätten wir natürlich alles just in time fertig gehabt,
[00:46:48 -> 00:46:50]  weil die Hausübergabe war ja.
[00:46:50 -> 00:46:53]  Und da war auch alles, was von dem kam, war drin.
[00:46:53 -> 00:46:57]  Aber dadurch, dass wir uns für andere Türen entschieden haben,
[00:46:57 -> 00:46:59]  die wir selber reinsetzen,
[00:46:59 -> 00:47:02]  der hat es leider nicht geschafft, pünktlich zu liefern.
[00:47:02 -> 00:47:04]  Deswegen gibt es jetzt eine Notlösung.
[00:47:04 -> 00:47:06]  Aber an sich nicht schlimm.
[00:47:06 -> 00:47:08]  Wir können jetzt damit erst mal leben.
[00:47:08 -> 00:47:12]  Das ist ein bisschen dunkler, der Farbton, als der Fensterrahmen.
[00:47:12 -> 00:47:15]  Von daher hat jetzt auch gleich der Anbieter gesagt,
[00:47:15 -> 00:47:18]  gar kein Problem, die werden noch mal ausgetauscht.
[00:47:18 -> 00:47:22]  Den Hausherrn Michael begeistern v.a. die Energieeffizienz
[00:47:22 -> 00:47:27]  des Gebäudes und der reibungslose Ablauf bei der Innenausstattung.
[00:47:27 -> 00:47:30]  Was die Jungs hier in 8 Wochen gerissen haben,
[00:47:30 -> 00:47:32]  8 Wochen Innenausbau.
[00:47:33 -> 00:47:37]  Es war immer ein Wochenende gucken, was passiert ist.
[00:47:37 -> 00:47:39]  Und das ist unglaublich.
[00:47:39 -> 00:47:44]  Stefanis Lieblingsnische ist das Panoramafenster mit Sitzecke.
[00:47:44 -> 00:47:48]  3 von 4 Deutschen wünschen sich ein Eigenheim.
[00:47:48 -> 00:47:50]  Die Halmls haben es wahrgemacht
[00:47:50 -> 00:47:54]  und durch den Fertigbau Zeit und Geld gespart.
[00:47:54 -> 00:47:58]  V.a. ihrem kleinen Sohn Matteo zuliebe.
[00:47:59 -> 00:48:01]  Ui.
[00:48:01 -> 00:48:03]  Wunderbar.
[00:48:03 -> 00:48:05]  Bravo.
[00:48:05 -> 00:48:07]  Extra für Matteo.
[00:48:07 -> 00:48:09]  Julia aus.
[00:48:09 -> 00:48:11]  Nein, heute ist Ausnahmszeit.
[00:48:11 -> 00:48:13]  Julia aus.
[00:48:13 -> 00:48:15]  Fertig.
[00:48:15 -> 00:48:17]  Perfekt.
[00:48:17 -> 00:48:19]  Zu Hause.
[00:48:19 -> 00:48:22]  Die Ecke ist jetzt echt kuschelig hier geworden.
[00:48:22 -> 00:48:24]  Auch mit dem Ofen.
[00:48:24 -> 00:48:27]  Wir wussten, das ist ein bisschen klein, diese Ecke hier.
[00:48:27 -> 00:48:29]  Platz für die ganze Familie.
[00:48:29 -> 00:48:32]  Stefanis Vater ist aus Hamburg angereist,
[00:48:32 -> 00:48:34]  Michaels Eltern aus Bayern.
[00:48:34 -> 00:48:37]  Zeit, um gemeinsam anzustoßen.
[00:48:37 -> 00:48:41]  Etwas Gefühl darf natürlich auch dabei sein.
[00:48:42 -> 00:48:45]  Und ich würde sagen, willkommen zu Hause.
[00:48:48 -> 00:48:50]  Willkommen zu Hause, genau.
[00:48:50 -> 00:48:52]  Prost.
[00:48:52 -> 00:48:54]  Viel Glück in eurer Sauce.
[00:48:55 -> 00:48:57]  Bleiben Sie gesund.
[00:48:57 -> 00:48:59]  Danke, wir auch.
[00:48:59 -> 00:49:01]  Das ist schon was Besonderes.
[00:49:01 -> 00:49:06]  An den Ort kann man wieder zurückkehren, wo wir gewohnt haben.
[00:49:06 -> 00:49:10]  Aber so einen Moment hier gibt es nur ein einziges Mal.
[00:49:10 -> 00:49:12]  Wir sind jetzt angekommen.
[00:49:12 -> 00:49:16]  Man merkt auch richtig, wie die Last von allem runterfällt
[00:49:16 -> 00:49:20]  und man den Tag mal Tag sein lassen kann.
[00:49:20 -> 00:49:23]  Jetzt müssen wir nichts mehr auf Zwang machen.
[00:49:23 -> 00:49:25]  Wir machen es, wozu wir Lust haben.
[00:49:25 -> 00:49:27]  Aber wir haben keinen Zeitdruck mehr.
[00:49:27 -> 00:49:29]  Das ist das Schöne jetzt.
[00:49:29 -> 00:49:31]  Danke, tschau.
[00:49:31 -> 00:49:33]  Vor 10 Jahren lag der Fertigbauanteil
[00:49:33 -> 00:49:37]  unter den genehmigten Einfamilienhäusern bei 15%.
[00:49:37 -> 00:49:39]  Mittlerweile sind es 20%.
[00:49:39 -> 00:49:43]  Der Fertighaus-Boom in Deutschland geht weiter.
