[00:00:00 -> 00:00:01]  Well, welcome everyone.
[00:47:56 -> 00:47:59]  and periodically during therapy.
[00:47:59 -> 00:48:02]  Vision testing is done during treatment
[00:48:02 -> 00:48:04]  with the medication ethambutol,
[00:48:05 -> 00:48:09]  which is another anti-tuberculosis medication.
[00:48:09 -> 00:48:11]  Hemoglobin and hematocrit values
[00:48:11 -> 00:48:13]  are unrelated to this question.
[00:48:13 -> 00:48:16]  And then BUN and creatinine are measured during therapy
[00:48:16 -> 00:48:19]  with a medication called streptomycin,
[00:48:19 -> 00:48:22]  which also is a nephrotoxic medication.
[00:48:22 -> 00:48:25]  And so important to remember is that Isonacid
[00:48:25 -> 00:48:29]  is contraindicated in clients with hypersensitivity
[00:48:29 -> 00:48:32]  or with acute liver disease.
[00:48:32 -> 00:48:36]  Okay, next question is a select-all-that-apply question
[00:48:36 -> 00:48:38]  on levothyroxine.
[00:48:39 -> 00:48:42]  Which medication instructions would the nurse provide
[00:48:42 -> 00:48:45]  to a client who's been prescribed levothyroxine?
[00:48:45 -> 00:48:47]  Select-all-that-apply.
[00:48:47 -> 00:48:49]  One, monitor your own pulse rate.
[00:48:49 -> 00:48:52]  Two, take the medication in the morning.
[00:48:52 -> 00:48:55]  Three, notify the primary healthcare provider
[00:48:55 -> 00:48:57]  if chest pain occurs.
[00:48:57 -> 00:48:59]  Four, it may take one to three weeks
[00:48:59 -> 00:49:02]  for a full therapeutic effect to occur.
[00:49:02 -> 00:49:04]  And five, expect the pulse rate
[00:49:04 -> 00:49:06]  to be greater than 100 beats per minute.
[00:49:13 -> 00:49:17]  All right, very good, you guys.
[00:49:17 -> 00:49:20]  Looks like there were a number of you
[00:49:20 -> 00:49:23]  ranging from 61 to 84% that chose
[00:49:23 -> 00:49:25]  all of the correct options,
[00:49:25 -> 00:49:28]  which is option one, the pulse rate.
[00:49:28 -> 00:49:30]  Two, taking the medication in the morning.
[00:49:30 -> 00:49:33]  Three, notify the primary healthcare provider
[00:49:33 -> 00:49:34]  if chest pain occurs.
[00:49:34 -> 00:49:36]  And four, that it may take one to three weeks
[00:49:36 -> 00:49:39]  for a full therapeutic effect to occur.
[00:49:39 -> 00:49:42]  So levothyroxine is a thyroid hormone,
[00:49:42 -> 00:49:43]  and the client is instructed
[00:49:43 -> 00:49:46]  to monitor their own pulse rate.
[00:49:46 -> 00:49:48]  They're also instructed to take the medication
[00:49:48 -> 00:49:52]  in the morning before breakfast to prevent insomnia
[00:49:52 -> 00:49:55]  and to take the medication at the same time each day
[00:49:55 -> 00:49:57]  to maintain those hormone levels.
[00:49:57 -> 00:50:00]  They're also told that the full therapeutic effect
[00:50:00 -> 00:50:02]  may take one to three weeks
[00:50:02 -> 00:50:06]  and that they need to have follow-up thyroid blood studies
[00:50:06 -> 00:50:08]  to monitor therapy.
[00:50:08 -> 00:50:12]  And thyroid replacement is often lifelong.
[00:50:12 -> 00:50:15]  Additional instructions would be including the primary
[00:50:15 -> 00:50:17]  or contacting the primary healthcare provider
[00:50:17 -> 00:50:22]  if the heart rate is greater than 100 beats per minute,
[00:50:22 -> 00:50:25]  and then notifying them if chest pain occurs
[00:50:25 -> 00:50:27]  or if weight loss, nervousness,
[00:50:27 -> 00:50:30]  tremors, or insomnia develops.
[00:50:30 -> 00:50:32]  And so you think about the effects of the medication
[00:50:32 -> 00:50:35]  as you read each of these options.
[00:50:35 -> 00:50:38]  Noting the words greater than 100 beats per minute
[00:50:38 -> 00:50:42]  in option five will assist you in eliminating that option,
[00:50:42 -> 00:50:44]  and you wouldn't expect that to occur.
[00:50:45 -> 00:50:48]  Okay, and so with that,
[00:50:48 -> 00:50:51]  we'd like to open it up for any questions.
[00:50:51 -> 00:50:54]  And we also want to thank you
[00:50:54 -> 00:50:56]  for spending time with us this evening,
[00:50:56 -> 00:50:59]  and we wish you all the very best.
[00:50:59 -> 00:51:01]  And we wanna just remind you to stay positive
[00:51:01 -> 00:51:03]  and believe in yourself.
[00:51:03 -> 00:51:06]  You can do this, and we hope that you stay safe
[00:51:06 -> 00:51:07]  and have a great night.
[00:51:07 -> 00:51:10]  But before we let you go, we'll take a few questions.
[00:51:11 -> 00:51:13]  Thank you, Angela, and thank you, Linda.
[00:51:13 -> 00:51:15]  That was so great.
[00:51:15 -> 00:51:18]  And there's been so many questions coming in,
[00:51:18 -> 00:51:21]  so we can get to a few right now.
[00:51:22 -> 00:51:26]  The first question I wanted to address was,
[00:51:26 -> 00:51:28]  do you have any tips on how to recognize
[00:51:28 -> 00:51:31]  the class a medication belongs to?
[00:51:33 -> 00:51:35]  Angela, do you wanna answer that?
[00:51:35 -> 00:51:36]  Do you want me to?
[00:51:36 -> 00:51:38]  I can take that first question,
[00:51:38 -> 00:51:41]  and then you can add as you feel that you need to.
[00:51:41 -> 00:51:45]  So tips to recognize how,
[00:51:45 -> 00:51:48]  or how to recognize the class a medication belongs to.
[00:51:48 -> 00:51:50]  The first thing that you wanna do
[00:51:50 -> 00:51:52]  is read the question,
[00:51:52 -> 00:51:54]  know if there's a diagnosis in the question.
[00:51:54 -> 00:51:58]  We practiced that a little bit this evening.
[00:51:58 -> 00:52:01]  And then that will help to give you an indication
[00:52:01 -> 00:52:04]  of what class the medication is in.
[00:52:04 -> 00:52:07]  So for example, if the question read,
[00:52:07 -> 00:52:11]  a client with heart failure is taking furosemide,
[00:52:11 -> 00:52:12]  then you wanna think about
[00:52:12 -> 00:52:14]  the pathophysiology of heart failure.
[00:52:14 -> 00:52:17]  And probably that furosemide is gonna be something
[00:52:17 -> 00:52:19]  that treats that fluid volume overload,
[00:52:19 -> 00:52:21]  and then you can get it into
[00:52:21 -> 00:52:23]  the classification of a diuretic.
[00:52:23 -> 00:52:25]  Or another example might be,
[00:52:25 -> 00:52:30]  a client with breast cancer is receiving cyclophosphamide.
[00:52:30 -> 00:52:32]  You might then connect, make that connection
[00:52:32 -> 00:52:34]  and think about cyclophosphamide
[00:52:34 -> 00:52:38]  as possibly being a chemotherapeutic drug.
[00:52:38 -> 00:52:42]  And then Linda, do you have any other tips
[00:52:42 -> 00:52:43]  that you wanna add?
[00:52:45 -> 00:52:47]  No, you're doing a great job.
[00:52:47 -> 00:52:49]  Okay, just a couple other things
[00:52:49 -> 00:52:51]  that I'm thinking about too.
[00:52:51 -> 00:52:55]  The prefix and the suffix in medication names,
[00:52:55 -> 00:52:58]  you can try to learn those commonalities
[00:52:58 -> 00:53:00]  in those medication names.
[00:53:00 -> 00:53:03]  And that can help you to determine
[00:53:03 -> 00:53:06]  if a medication belongs to a particular class.
[00:53:06 -> 00:53:08]  And that can then help you in answering the question.
[00:53:08 -> 00:53:13]  So if you note that the medication name in a test question,
[00:53:13 -> 00:53:16]  you see the name, but you're not familiar with the name.
[00:53:17 -> 00:53:20]  If you can at least associate the medication with a class,
[00:53:20 -> 00:53:23]  you'll then hopefully be able to determine the action,
[00:53:23 -> 00:53:26]  side effects and nursing interventions.
[00:53:26 -> 00:53:28]  So take a look at the letters in the name
[00:53:28 -> 00:53:30]  and look for those that may identify
[00:53:30 -> 00:53:32]  a particular med classification.
[00:53:32 -> 00:53:35]  So for example, ACE inhibitors,
[00:53:35 -> 00:53:38]  most of those end with the letters P-R-I-L
[00:53:38 -> 00:53:41]  like lisinopril or enalapril.
[00:53:41 -> 00:53:45]  Another one that I can think of is antiviral medications.
[00:53:45 -> 00:53:48]  A lot of those contain the letters V-I-R
[00:53:48 -> 00:53:51]  such as ritonavir.
[00:53:51 -> 00:53:55]  And then beta blockers, they end with L-O-L
[00:53:55 -> 00:53:58]  such as atenolol or metoprolol.
[00:53:59 -> 00:54:01]  Glucocorticoids and corticosteroids,
[00:54:01 -> 00:54:02]  Linda mentioned that,
[00:54:02 -> 00:54:06]  ends with the letters S-O-N-E such as prednisone.
[00:54:06 -> 00:54:08]  And then with your sulfonamides,
[00:54:08 -> 00:54:12]  most of those medications include S-U-L-F in their names
[00:54:12 -> 00:54:15]  such as sulfamethoxazole.
[00:54:16 -> 00:54:19]  Most thyroid medications contain T-H-Y in the name
[00:54:19 -> 00:54:21]  like levothyroxine.
[00:54:21 -> 00:54:24]  And then your xanthine bronchodilators,
[00:54:24 -> 00:54:27]  most of those end with the letters L-I-N-E
[00:54:27 -> 00:54:28]  such as theophylline.
[00:54:28 -> 00:54:31]  So if you can study those and recognize those,
[00:54:31 -> 00:54:34]  that will really help you to get medications
[00:54:34 -> 00:54:35]  into the classification
[00:54:35 -> 00:54:38]  and then hopefully be able to answer
[00:54:38 -> 00:54:41]  whatever the question may be asking about.
[00:54:41 -> 00:54:44]  If you are able to remember the therapeutic effect,
[00:54:44 -> 00:54:47]  common side effects, adverse and toxic effects
[00:54:47 -> 00:54:50]  associated with medication classifications
[00:54:50 -> 00:54:53]  rather than individual medications,
[00:54:53 -> 00:54:56]  that will really help you to scale down
[00:54:56 -> 00:54:59]  the amount of information that you need to remember.
[00:55:00 -> 00:55:05]  Thank you, that was awesome information.
[00:55:05 -> 00:55:07]  Going off of the number of questions
[00:55:07 -> 00:55:09]  that you had just mentioned,
[00:55:09 -> 00:55:10]  taking practice questions there,
[00:55:10 -> 00:55:12]  there was a couple different questions
[00:55:12 -> 00:55:14]  coming in from students
[00:55:14 -> 00:55:18]  about the 3,500 to 4,000 practice questions
[00:55:18 -> 00:55:21]  that you recommend taking before the NCLEX
[00:55:21 -> 00:55:24]  and whether that is all practice questions,
[00:55:24 -> 00:55:29]  just pharmacology and how long you recommend it.
[00:55:29 -> 00:55:32]  Is that your senior year or through all of nursing school?
[00:55:32 -> 00:55:35]  I know that's multi-layered, but yeah.
[00:55:36 -> 00:55:38]  Okay, well, the 3,500,
[00:55:38 -> 00:55:42]  Angela, you jump in after if you have something to add.
[00:55:42 -> 00:55:46]  The 3,500 to 4,000 practice questions
[00:55:46 -> 00:55:49]  is not just pharmacology questions.
[00:55:49 -> 00:55:53]  It is questions in foundations, maternity, PD, adult health,
[00:55:53 -> 00:55:56]  you really wanna be strong there,
[00:55:56 -> 00:56:01]  your mental health questions and your pharmacology questions.
[00:56:01 -> 00:56:06]  Now, many students have the comp review books
[00:56:06 -> 00:56:11]  when they begin their nursing program, which is ideal
[00:56:11 -> 00:56:15]  because as you're getting ready for a nursing exam,
[00:56:15 -> 00:56:17]  let's say it's maternity,
[00:56:17 -> 00:56:20]  you can practice all of those questions
[00:56:20 -> 00:56:25]  in that maternity section on Evolve and in the book
[00:56:25 -> 00:56:28]  to get ready for your nursing exam.
[00:56:28 -> 00:56:33]  And you're getting ready for NCLEX at the very same time.
[00:56:33 -> 00:56:38]  Again, we want to emphasize how critically important it is
[00:56:38 -> 00:56:43]  to read the rationales and the test-taking strategies.
[00:56:43 -> 00:56:48]  So it's 3,500 to 4,000, more if you can,
[00:56:48 -> 00:56:50]  but while you're in nursing school
[00:56:50 -> 00:56:54]  and throughout your senior year.
[00:56:54 -> 00:56:56]  And then when you get to your senior year,
[00:56:56 -> 00:56:59]  if you've sort of exhausted that comp review book
[00:57:00 -> 00:57:02]  with practice questions,
[00:57:02 -> 00:57:07]  that's when we really recommend the Q&A book
[00:57:07 -> 00:57:10]  because as we mentioned previously,
[00:57:10 -> 00:57:12]  they're higher level questions,
[00:57:12 -> 00:57:16]  they really test your clinical judgment
[00:57:16 -> 00:57:19]  and the ability to make sound judgments
[00:57:19 -> 00:57:21]  in the clinical situation.
[00:57:22 -> 00:57:25]  Anything to add, Angela?
[00:57:26 -> 00:57:28]  I think the only thing I would reiterate, Linda,
[00:57:28 -> 00:57:32]  that you already said is that you really shouldn't count
[00:57:32 -> 00:57:36]  the questions that you're practicing towards that total
[00:57:36 -> 00:57:40]  unless you really are paying attention
[00:57:40 -> 00:57:44]  and reading those rationales and reading those strategies
[00:57:44 -> 00:57:47]  because you would be doing yourself a disservice
[00:57:47 -> 00:57:49]  to say to yourself, okay,
[00:57:49 -> 00:57:51]  I know this book has 6,000 questions,
[00:57:51 -> 00:57:54]  I've gone through the whole book, so I've done 6,000.
[00:57:56 -> 00:57:58]  But if you weren't really like doing it at your best
[00:57:58 -> 00:58:00]  and really paying attention,
[00:58:00 -> 00:58:03]  then I would caution you on counting those
[00:58:03 -> 00:58:06]  and would tell you to or advise you
[00:58:06 -> 00:58:08]  to kind of take a step back
[00:58:08 -> 00:58:12]  and maybe come up with a plan
[00:58:12 -> 00:58:14]  that would be fair to yourself and true to yourself
[00:58:14 -> 00:58:19]  that would really truly cover that 3,500 to 4,000.
[00:58:20 -> 00:58:23]  That's a really great point that you made
[00:58:23 -> 00:58:28]  and it brings to mind that what is really important
[00:58:28 -> 00:58:30]  is at the end of your courses,
[00:58:30 -> 00:58:34]  many of you take standardized examinations
[00:58:34 -> 00:58:36]  and then you may take an exit exam
[00:58:36 -> 00:58:40]  or an exam at the end of your program.
[00:58:40 -> 00:58:42]  With these standardized tests,
[00:58:42 -> 00:58:45]  you really need to take them seriously
[00:58:45 -> 00:58:48]  and you can use the results on these tests
[00:58:48 -> 00:58:51]  to help guide you with where your strengths
[00:58:51 -> 00:58:53]  and your weaknesses are
[00:58:53 -> 00:58:56]  because then that is an area where you really wanna focus
[00:58:56 -> 00:58:59]  when you're doing your practice questions.
[00:59:00 -> 00:59:01]  Thank you.
[00:59:02 -> 00:59:05]  Another, a bunch of questions coming in
[00:59:05 -> 00:59:08]  about how there's just so many medications
[00:59:08 -> 00:59:10]  to remember in pharmacology
[00:59:10 -> 00:59:13]  and all the different drug effects
[00:59:13 -> 00:59:15]  and contradictions and indications.
[00:59:15 -> 00:59:18]  And when you sit down to study for pharmacology,
[00:59:18 -> 00:59:20]  how do you recommend approaching
[00:59:20 -> 00:59:23]  all that there is to know and to learn?
[00:59:24 -> 00:59:28]  Okay, yeah, and I think Angela might have touched
[00:59:28 -> 00:59:29]  on this a little bit,
[00:59:29 -> 00:59:33]  but one of the things is approach your study,
[00:59:33 -> 00:59:38]  studying and review by medication calculations.
[00:59:38 -> 00:59:39]  And the reason we recommend this
[00:59:39 -> 00:59:42]  is because medications that belong
[00:59:42 -> 00:59:43]  to a particular classification
[00:59:43 -> 00:59:47]  are going to have similar med actions
[00:59:47 -> 00:59:49]  and usually have commonalities
[00:59:49 -> 00:59:52]  in their side effects and nursing interventions
[00:59:52 -> 00:59:53]  related to administration.
[00:59:53 -> 00:59:58]  And it's nearly impossible to learn every feature
[00:59:58 -> 01:00:01]  about every individual med.
[01:00:01 -> 01:00:05]  So we don't want you to be trying to do that.
[01:00:05 -> 01:00:08]  Learn the meds by the classification system method
[01:00:08 -> 01:00:12]  that groups meds with similar properties together.
[01:00:12 -> 01:00:15]  And that makes the amount of information
[01:00:15 -> 01:00:20]  that needs to be learned condensed and very manageable.
[01:00:20 -> 01:00:23]  So for example, group all your beta blockers together.
[01:00:23 -> 01:00:27]  Remember that most of their names will end in LOL.
[01:00:27 -> 01:00:29]  Then group their intended effects,
[01:00:29 -> 01:00:31]  which are all gonna be similar.
[01:00:31 -> 01:00:33]  Group the side effects and adverse effects
[01:00:33 -> 01:00:37]  and the nursing interventions, including patient teaching.
[01:00:37 -> 01:00:39]  And that is all gonna be similar.
[01:00:39 -> 01:00:44]  So the classification method is really, really important.
[01:00:45 -> 01:00:47]  Anything to add, Angela?
[01:00:48 -> 01:00:51]  I think maybe the only thing that I would add to that
[01:00:51 -> 01:00:56]  is that a lot of the pharmacology textbooks out there
[01:00:56 -> 01:00:59]  will present information using the classification method
[01:00:59 -> 01:01:02]  and they will likely identify
[01:01:02 -> 01:01:06]  a number of prototype medications
[01:01:06 -> 01:01:10]  or the most common medications that in a way
[01:01:10 -> 01:01:13]  represent that particular classification.
[01:01:13 -> 01:01:16]  And so you could really kind of get to know
[01:01:16 -> 01:01:20]  maybe the top three or four medication names
[01:01:20 -> 01:01:23]  within a certain classification.
[01:01:24 -> 01:01:28]  And then from there, as you had just described, Linda,
[01:01:28 -> 01:01:29]  learning all of those other things
[01:01:29 -> 01:01:31]  associated with the entire class.
[01:01:31 -> 01:01:34]  So it really is kind of a method
[01:01:34 -> 01:01:37]  that you'd have to use to learn
[01:01:37 -> 01:01:39]  and then to get to know those things.
[01:01:39 -> 01:01:43]  And then I would also advise you
[01:01:43 -> 01:01:47]  to make the most of your clinical experiences
[01:01:47 -> 01:01:51]  when it comes to learning your medications.
[01:01:51 -> 01:01:53]  That's really an opportune time
[01:01:53 -> 01:01:57]  to apply this information that you're learning
[01:01:57 -> 01:02:00]  to a real patient or client care scenario.
[01:02:00 -> 01:02:04]  And that really, really helps to solidify
[01:02:04 -> 01:02:07]  and helps you to remember what a medication is used for,
[01:02:07 -> 01:02:11]  if you can tie it back to some of those clinical experiences.
[01:02:11 -> 01:02:15]  And then that really helps you to then understand
[01:02:16 -> 01:02:19]  kind of what a treatment regimen might look like
[01:02:19 -> 01:02:22]  for a certain condition with medications
[01:02:22 -> 01:02:25]  coming from multiple different classifications.
[01:02:25 -> 01:02:28]  And then also interactive effects
[01:02:28 -> 01:02:30]  is another thing that that would help with.
[01:02:30 -> 01:02:33]  So clinical experiences and then case studies
[01:02:33 -> 01:02:37]  also help with kind of tying all of those pieces together.
[01:02:37 -> 01:02:39]  But if you start with learning
[01:02:39 -> 01:02:42]  the classifications initially,
[01:02:42 -> 01:02:46]  and then as you're getting closer to taking your NCLEX,
[01:02:46 -> 01:02:48]  kind of putting those finishing touches
[01:02:48 -> 01:02:49]  on the pharmacology content
[01:02:49 -> 01:02:52]  by reflecting back on those clinical experiences,
[01:02:52 -> 01:02:56]  and then maybe using some case study resources
[01:02:56 -> 01:02:57]  is really helpful.
[01:03:00 -> 01:03:03]  Wow, that answered on most of the questions
[01:03:04 -> 01:03:07]  and was really awesome.
[01:03:07 -> 01:03:09]  I think that there was one other question
[01:03:09 -> 01:03:10]  I wanted to touch on
[01:03:10 -> 01:03:13]  and I thought it would be a good note to end the night.
[01:03:13 -> 01:03:18]  So what do you recommend for students with test anxiety
[01:03:18 -> 01:03:20]  as semesters are gonna be wrapping up
[01:03:20 -> 01:03:24]  in a few months here and yeah.
[01:03:27 -> 01:03:31]  Well, there's lots of little tips for test anxiety.
[01:03:33 -> 01:03:35]  And Angela, I'll turn this over to you
[01:03:35 -> 01:03:38]  after I just make a few starting points here.
[01:03:41 -> 01:03:43]  First of all, you need to be prepared for your exam.
[01:03:43 -> 01:03:45]  If you're going to be prepared for your exam,
[01:03:45 -> 01:03:48]  that's going to help some.
[01:03:49 -> 01:03:53]  You need to think about some techniques
[01:03:53 -> 01:03:58]  that will work for you to keep your mind focused.
[01:04:00 -> 01:04:04]  So deep breathing always helps.
[01:04:04 -> 01:04:06]  That helps an awful lot of people
[01:04:06 -> 01:04:11]  with helping them to focus and direct their attention
[01:04:11 -> 01:04:14]  to what they're doing and relieve that test anxiety.
[01:04:14 -> 01:04:16]  So you breathe in through your nose,
[01:04:16 -> 01:04:18]  hold that for a count of four
[01:04:18 -> 01:04:20]  and then breathe out through your mouth.
[01:04:20 -> 01:04:24]  Now, remember when we have post-operative patients
[01:04:24 -> 01:04:29]  in the clinical area and their pulse ox drops,
[01:04:29 -> 01:04:31]  what do we tell them to do?
[01:04:31 -> 01:04:32]  We tell them to deep breathe.
[01:04:32 -> 01:04:35]  That's the first thing we ask them to do is to deep breathe
[01:04:35 -> 01:04:39]  and we watch their pulse oxes most of the time
[01:04:39 -> 01:04:41]  go right back up again.
[01:04:42 -> 01:04:43]  Well, that's why deep breathing is important
[01:04:43 -> 01:04:47]  because it's going to help to bring a lot of oxygen
[01:04:47 -> 01:04:51]  into your body and it's going to bring it to your brain
[01:04:51 -> 01:04:54]  where you want it the most when you're taking an exam.
[01:04:55 -> 01:04:59]  The other thing that I have seen happen with students
[01:04:59 -> 01:05:03]  is when they're coming to class and they're taking an exam,
[01:05:03 -> 01:05:06]  they'll all congregate outside the classroom
[01:05:06 -> 01:05:08]  till the classroom is empty
[01:05:08 -> 01:05:11]  from the previous group of students that were in there
[01:05:11 -> 01:05:13]  and they all start talking about what they studied,
[01:05:13 -> 01:05:16]  what's going to be on the exam, what this, what that.
[01:05:16 -> 01:05:21]  And what I say to you is to move away from those groups
[01:05:21 -> 01:05:23]  and not listen to that
[01:05:23 -> 01:05:27]  because that's only going to increase your anxiety.
[01:05:27 -> 01:05:30]  If you start hearing other people talking about
[01:05:30 -> 01:05:31]  what they think is going to be on the exam
[01:05:31 -> 01:05:35]  and perhaps maybe you didn't study that enough
[01:05:35 -> 01:05:37]  or you feel like you didn't study that enough,
[01:05:37 -> 01:05:41]  that's only going to increase your anxiety even more.
[01:05:41 -> 01:05:46]  Healthy wise, stay away from coffee, eat a good breakfast.
[01:05:46 -> 01:05:48]  Those complex carbs are really good to feed your body
[01:05:48 -> 01:05:50]  and feed your brain.
[01:05:51 -> 01:05:53]  And what else to add, Angela?
[01:05:55 -> 01:05:55]  Yeah, thank you.
[01:05:55 -> 01:05:57]  Those are all really great tips
[01:05:57 -> 01:05:59]  and excellent starting points.
[01:05:59 -> 01:06:02]  And if you are not,
[01:06:02 -> 01:06:04]  if you're finding that you're still struggling with this
[01:06:04 -> 01:06:06]  after doing all of those things
[01:06:06 -> 01:06:09]  and then doing the pampering and the self care
[01:06:09 -> 01:06:14]  and finding the balance between school, work, personal life
[01:06:14 -> 01:06:17]  and you're still struggling with this,
[01:06:18 -> 01:06:21]  universities, colleges, they've got resources
[01:06:21 -> 01:06:26]  that you can be referred to or seek out on your own.
[01:06:28 -> 01:06:30]  And I would recommend that you do that.
[01:06:30 -> 01:06:33]  And it may be pursuant to, for example,
[01:06:33 -> 01:06:35]  the American Disabilities Act
[01:06:35 -> 01:06:40]  where there's a resource center that works with students
[01:06:40 -> 01:06:45]  who may have a documented or undocumented disability.
[01:06:45 -> 01:06:48]  And there may be some accommodations
[01:06:48 -> 01:06:51]  that could be put in place that will help
[01:06:51 -> 01:06:54]  specifically with testing, taking anxiety.
[01:06:54 -> 01:06:57]  And it may be things like maybe you need an extra time,
[01:06:57 -> 01:06:59]  like one and a half times on an exam.
[01:06:59 -> 01:07:02]  And that would be substantial enough
[01:07:02 -> 01:07:04]  to help then reduce the anxiety.
[01:07:04 -> 01:07:07]  So that's just one of many examples
[01:07:07 -> 01:07:11]  that those resources typically can offer to students.
[01:07:11 -> 01:07:14]  And I always say the sooner you can get something like that
[01:07:14 -> 01:07:17]  in place, if you need it, the better.
[01:07:17 -> 01:07:20]  And if you don't need to use the accommodation,
[01:07:20 -> 01:07:21]  then that's okay.
[01:07:21 -> 01:07:22]  At least you have it in place
[01:07:22 -> 01:07:24]  in the event that you do need it.
[01:07:24 -> 01:07:27]  These accommodations also are applicable
[01:07:27 -> 01:07:28]  for the NCLEX exam as well.
[01:07:28 -> 01:07:30]  You just have to follow the processes
[01:07:30 -> 01:07:34]  to have that set in place for the exam
[01:07:34 -> 01:07:36]  through your respective state board of nursing
[01:07:36 -> 01:07:38]  that you're applying for licensure with.
[01:07:40 -> 01:07:44]  And then certainly working with your healthcare provider
[01:07:44 -> 01:07:47]  and perhaps working with counseling.
[01:07:47 -> 01:07:50]  Those things may be tremendously helpful.
[01:07:50 -> 01:07:51]  And even though it may take time
[01:07:51 -> 01:07:53]  to seek out those resources,
[01:07:53 -> 01:07:56]  in the end, they end up being a time gain for you
[01:07:56 -> 01:08:00]  in that you won't be chasing your tail,
[01:08:00 -> 01:08:03]  trying to raise a grade on an exam
[01:08:03 -> 01:08:05]  so that you're successful
[01:08:05 -> 01:08:08]  and it doesn't inhibit your progression in your program.
[01:08:08 -> 01:08:09]  And so that you don't have to come back
[01:08:09 -> 01:08:12]  and repeat a course or something like that.
[01:08:12 -> 01:08:14]  So just consider those things
[01:08:14 -> 01:08:17]  and consider the resources that you have.
[01:08:17 -> 01:08:18]  Talk to your faculty advisors.
[01:08:18 -> 01:08:21]  They're often an excellent resource
[01:08:21 -> 01:08:24]  to be able to refer you appropriately.
[01:08:24 -> 01:08:25]  And then ultimately in the end,
[01:08:25 -> 01:08:28]  I would probably end on this note.
[01:08:28 -> 01:08:31]  If you think that there's not an option available for you
[01:08:31 -> 01:08:34]  to help you to be more successful,
[01:08:35 -> 01:08:36]  that's probably not the case.
[01:08:36 -> 01:08:40]  And you need to just ask those questions
[01:08:40 -> 01:08:43]  and kind of voice what you're experiencing.
[01:08:43 -> 01:08:46]  And more often than not,
[01:08:46 -> 01:08:49]  somebody somewhere will be able to help you
[01:08:49 -> 01:08:52]  to navigate those things.
[01:08:52 -> 01:08:53]  Right.
[01:08:53 -> 01:08:56]  And if sometimes it's just a self-assessment
[01:08:56 -> 01:08:59]  or someone to help you assess
[01:08:59 -> 01:09:03]  what it is that is causing your anxiety.
[01:09:03 -> 01:09:07]  And if you can pinpoint that to some degree,
[01:09:07 -> 01:09:11]  then that's where your focus can be to help relieve it.
[01:09:13 -> 01:09:14]  Absolutely.
[01:09:14 -> 01:09:15]  Thank you so much.
[01:09:17 -> 01:09:19]  It's been such a great evening
[01:09:19 -> 01:09:21]  and we hope that you all enjoyed the review
[01:09:21 -> 01:09:23]  as much as we did.
[01:09:23 -> 01:09:25]  And thank you Linda and Angela
[01:09:25 -> 01:09:28]  for all of your time tonight with us.
[01:09:28 -> 01:09:30]  I know it's been appreciated.
[01:09:30 -> 01:09:34]  And yeah, everyone have a great rest of your evening.
[01:09:34 -> 01:09:35]  Yes.
[01:09:35 -> 01:09:35]  Have a great night.
[01:09:35 -> 01:09:37]  Thank you very much.
[01:09:37 -> 01:09:38]  Thank you everybody.
[01:09:38 -> 01:09:39]  Have a great night.
[01:09:40 -> 01:09:43]  ♪♪
